cohort,model,repeat,n,positive_rate,accuracy,balanced_accuracy,sensitivity,specificity,auroc,auprc,brier,log_loss,ece_5,ece_10
child,nb,2,290,0.48275862,0.79310345,0.79333333,0.80000000,0.78666667,0.82997619,0.75860050,0.18457444,2.70105119,0.17074300,0.17148078
child,nb,3,290,0.48275862,0.79655172,0.79666667,0.80000000,0.79333333,0.84680952,0.77514824,0.17658170,2.26639065,0.15947014,0.16020823
child,nb,4,290,0.48275862,0.82068966,0.82142857,0.84285714,0.80000000,0.82907143,0.74981451,0.16386685,2.90114487,0.14769517,0.15071848
child,nb,5,290,0.48275862,0.77586207,0.77690476,0.80714286,0.74666667,0.80676190,0.71741775,0.19869172,3.24572330,0.18073927,0.18613140
child,nb,6,290,0.48275862,0.83103448,0.83095238,0.82857143,0.83333333,0.84723810,0.76689301,0.14858524,2.68254901,0.13219249,0.13285354
child,nb,7,290,0.48275862,0.80689655,0.80738095,0.82142857,0.79333333,0.83340476,0.75679832,0.16722244,2.78015887,0.15326461,0.15566957
child,nb,8,290,0.48275862,0.81724138,0.81785714,0.83571429,0.80000000,0.85457143,0.79247747,0.16250826,2.24714153,0.15138667,0.15580346
child,nb,9,290,0.48275862,0.81034483,0.81047619,0.81428571,0.80666667,0.83147619,0.76026029,0.17949302,2.71824927,0.16644496,0.16997088
child,rf,0,290,0.48275862,0.93793103,0.93833333,0.95000000,0.92666667,0.98842857,0.98815202,0.08824546,0.31891834,0.16094717,0.18879090
child,rf,1,290,0.48275862,0.93793103,0.93857143,0.95714286,0.92000000,0.98566667,0.98510172,0.09122665,0.32611001,0.15352891,0.19295195
child,rf,2,290,0.48275862,0.93793103,0.93833333,0.95000000,0.92666667,0.98633333,0.98664414,0.08999761,0.32224699,0.16203663,0.18974700
child,rf,3,290,0.48275862,0.92068966,0.92095238,0.92857143,0.91333333,0.98514286,0.98457312,0.08962173,0.32094068,0.15065970,0.17107273
child,rf,4,290,0.48275862,0.95517241,0.95547619,0.96428571,0.94666667,0.98842857,0.98766206,0.08853327,0.31997801,0.15134749,0.20659836
child,rf,5,290,0.48275862,0.93793103,0.93809524,0.94285714,0.93333333,0.98495238,0.98463288,0.08982682,0.32218738,0.15158840,0.18880779
child,rf,6,290,0.48275862,0.94827586,0.94809524,0.94285714,0.95333333,0.99185714,0.99176109,0.08680923,0.31584847,0.16862246,0.19925270
child,rf,7,290,0.48275862,0.94827586,0.94857143,0.95714286,0.94000000,0.98995238,0.99009317,0.08734183,0.31682521,0.17133174,0.19891709
child,rf,8,290,0.48275862,0.92758621,0.92738095,0.92142857,0.93333333,0.98923810,0.98904201,0.08855932,0.31918372,0.16793757,0.17948338
child,rf,9,290,0.48275862,0.93793103,0.93833333,0.95000000,0.92666667,0.98657143,0.98624589,0.09101071,0.32595558,0.16147954,0.19304077
child,svm,0,290,0.48275862,0.96896552,0.96857143,0.95714286,0.98000000,0.99666667,0.99662098,0.08201374,0.31249519,0.19285843,0.22359061
child,svm,1,290,0.48275862,0.97586207,0.97595238,0.97857143,0.97333333,0.99676190,0.99653965,0.08247485,0.31362718,0.17958512,0.23149924
child,svm,2,290,0.48275862,0.96206897,0.96238095,0.97142857,0.95333333,0.99766667,0.99766245,0.08081214,0.31025888,0.20144395,0.21625997
child,svm,3,290,0.48275862,0.96206897,0.96190476,0.95714286,0.96666667,0.99552381,0.99552021,0.08395156,0.31650416,0.18623059,0.21864941
child,svm,4,290,0.48275862,0.95862069,0.95880952,0.96428571,0.95333333,0.99561905,0.99538543,0.08241530,0.31298255,0.18972393,0.21225861
child,svm,5,290,0.48275862,0.97241379,0.97285714,0.98571429,0.96000000,0.99509524,0.99490306,0.08439568,0.31770201,0.18006116,0.22933306
child,svm,6,290,0.48275862,0.97931034,0.97904762,0.97142857,0.98666667,0.99842857,0.99838019,0.07945132,0.30687724,0.20135315,0.23192786
child,svm,7,290,0.48275862,0.96551724,0.96571429,0.97142857,0.96000000,0.99628571,0.99605843,0.08106663,0.31018394,0.19118283,0.21803291
child,svm,8,290,0.48275862,0.97241379,0.97190476,0.95714286,0.98666667,0.99600000,0.99600326,0.08321814,0.31546443,0.19971955,0.22932405
child,svm,9,290,0.48275862,0.95517241,0.95547619,0.96428571,0.94666667,0.99514286,0.99498434,0.08345736,0.31576013,0.19141167,0.21121522
child,xgb,0,290,0.48275862,0.97241379,0.97309524,0.99285714,0.95333333,0.99504762,0.99437622,0.03015825,0.11224832,0.04772034,0.04861854
child,xgb,1,290,0.48275862,0.96551724,0.96571429,0.97142857,0.96000000,0.99423810,0.99350983,0.03169750,0.11644062,0.04177724,0.04380795
child,xgb,2,290,0.48275862,0.96206897,0.96238095,0.97142857,0.95333333,0.99552381,0.99518789,0.03064490,0.11172311,0.03890250,0.04558924
child,xgb,3,290,0.48275862,0.96551724,0.96595238,0.97857143,0.95333333,0.99500000,0.99453743,0.03094160,0.11355465,0.04128283,0.04147868
